Date,Cases,Deaths,Recovered,Travel_history,Province,City,masks,sanitizers
3/19/2020,37,0,1,Local - Social Contact,Sindh,Karachi,976,828
3/19/2020,53,0,0,Iran/Taftan,Baluchistan,Quetta,847,2484
3/19/2020,2,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Mardan,991,4597
3/19/2020,1,0,0,Local - Covid Relative,Khyber Pakhtunkhwa,Dera Ismail Khan,563,4886
3/19/2020,4,0,0,Unknown,Gilgit-Baltistan,Gilgit,586,3943
3/19/2020,4,0,0,Unknown,Gilgit-Baltistan,Nagar,531,2753
3/20/2020,5,0,0,Unknown,Baluchistan,Quetta,520,4027
3/20/2020,4,1,0,Local - Social Contact,Sindh,Karachi,673,2150
3/20/2020,1,0,0,Unknown,Khyber Pakhtunkhwa,Mansehra,521,2947
3/20/2020,1,0,0,Unknown,Federal Administration Tribal Area,Khyber,700,4836
3/20/2020,1,0,0,Local - Social Contact,Punjab,Rawalpindi,976,4826
3/20/2020,1,0,0,Local - Social Contact,Punjab,Jehlum,528,913
3/20/2020,3,0,0,Local - Social Contact,Punjab,Gujrat ,723,4950
3/20/2020,2,0,0,Unknown,Punjab,Lahore,547,3938
3/20/2020,7,0,0,Iran/Taftan,Punjab,Dera Ghazi Khan,894,2717
3/20/2020,1,0,0,Local - Social Contact,Gilgit-Baltistan,Nagar,820,3230
3/20/2020,8,0,0,Iran/Taftan,Gilgit-Baltistan,Gilgit,891,2854
3/20/2020,16,0,0,Local - Social Contact,Sindh,Karachi,929,3236
3/21/2020,3,0,0,Unknown,Islamabad Capital Territory,Islamabad,502,3781
3/21/2020,12,0,0,Iran/Taftan,Baluchistan,Quetta,922,790
3/21/2020,39,0,0,Iran/Taftan,Sindh,Sukkur,699,644
3/21/2020,0,0,3,Local - Social Contact,Sindh,Karachi,979,1496
3/21/2020,25,0,0,Iran/Taftan,Gilgit-Baltistan,Skardu,536,2206
3/21/2020,6,0,0,Unknown,Punjab,Lahore,623,1727
3/21/2020,38,0,0,Iran/Taftan,Punjab,Dera Ghazi Khan,876,1428
3/21/2020,1,0,0,Local - Social Contact,Punjab,Jehlum,717,4294
3/21/2020,4,0,0,Local - Social Contact,Punjab,Gujranwala,944,3992
3/21/2020,1,0,0,Iran/Taftan,Khyber Pakhtunkhwa,Peshawar,602,3445
3/21/2020,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Peshawar,591,3424
3/21/2020,2,0,0,Iran/Taftan,Khyber Pakhtunkhwa,Dera Ismail Khan,952,4171
3/21/2020,1,0,0,Iran/Taftan,Khyber Pakhtunkhwa,Mardan,793,2246
3/21/2020,1,0,0,Iran/Taftan,Khyber Pakhtunkhwa,Karak,863,2477
3/22/2020,4,0,0,Local - Social Contact,Gilgit-Baltistan,Nagar,950,1991
3/22/2020,18,0,0,Local - Social Contact,Sindh,Karachi,966,3922
3/22/2020,23,0,0,Iran/Taftan,Sindh,Sukkur,538,1856
3/22/2020,1,0,0,Unknown,Islamabad Capital Territory,Islamabad,810,1919
3/22/2020,15,0,0,Unknown,Punjab,Lahore,970,3357
3/22/2020,1,0,0,Local - Social Contact,Punjab,Jehlum,923,3638
3/22/2020,1,0,0,Local - Social Contact,Punjab,Rawalpindi,622,3674
3/22/2020,43,0,0,Iran/Taftan,Punjab,Dera Ghazi Khan,546,4553
3/22/2020,4,1,0,Unknown,Baluchistan,Quetta,861,3017
3/23/2020,7,0,0,Local - Social Contact,Sindh,Karachi,634,1385
3/23/2020,11,0,0,Iran/Taftan,Sindh,Sukkur,851,2814
3/23/2020,1,0,0,Iran/Taftan,Sindh,Dadu,660,4839
3/23/2020,5,0,0,Iran/Taftan,Baluchistan,Taftan,829,522
3/23/2020,16,1,0,Iran/Taftan,Gilgit-Baltistan,Skardu,982,4369
3/23/2020,25,0,0,Iran/Taftan,Punjab,Dera Ghazi Khan,507,4085
3/23/2020,16,0,0,Local - Social Contact,Punjab,Lahore,882,3020
3/23/2020,1,0,0,Unknown,Khyber Pakhtunkhwa,Mansehra,893,2060
3/24/2020,8,0,6,Local - Social Contact,Sindh,Karachi,982,3930
3/24/2020,8,0,0,Iran/Taftan,Sindh,Sukkur,730,1989
3/24/2020,3,0,10,Local - Social Contact,Sindh,Karachi,926,1659
3/24/2020,5,0,0,Local - Social Contact,Gilgit-Baltistan,Gilgit,519,3486
3/24/2020,37,0,0,Iran/Taftan,Khyber Pakhtunkhwa,Dera Ismail Khan,815,500
3/24/2020,1,0,0,Iran/Taftan,Federal Administration Tribal Area,South Waziristan,804,4629
3/24/2020,2,0,0,Unknown,Khyber Pakhtunkhwa,Peshawar,893,3171
3/24/2020,2,0,0,Unknown,Baluchistan,Quetta,516,1198
3/24/2020,7,0,0,Local - Social Contact,Punjab,Lahore,612,2079
3/24/2020,1,0,0,Local - Social Contact,Punjab,Multan,706,1567
3/24/2020,9,0,0,Local - Social Contact,Punjab,Gujrat ,618,2069
3/24/2020,3,0,0,Local - Social Contact,Punjab,Gujranwala,749,2520
3/24/2020,1,0,0,Local - Social Contact,Punjab,Sargodha,939,2669
3/24/2020,1,0,0,Local - Social Contact,Punjab,Faisalabad,744,543
3/24/2020,1,0,0,Local - Social Contact,Punjab,Mandi Bahauddin,683,3401
3/24/2020,1,0,0,Local - Social Contact,Punjab,Rahim yar khan,605,4901
3/24/2020,3,0,0,Local - Social Contact,Sindh,Karachi,776,4045
3/24/2020,21,1,2,Iran/Taftan,Punjab,Dera Ghazi Khan,748,4592
3/25/2020,5,0,0,International Passenger,Islamabad Capital Territory,Islamabad,598,3493
3/25/2020,3,0,0,Local - Social Contact,Sindh,Karachi,715,3835
3/25/2020,0,0,1,Local - Social Contact,Sindh,Hyderabad,726,1772
3/25/2020,9,0,0,Local - Social Contact,Baluchistan,Quetta,652,4894
3/25/2020,1,0,0,Unknown,Gilgit-Baltistan,Astore,506,4971
3/25/2020,39,0,2,Unknown,Khyber Pakhtunkhwa,Mardan,755,3511
3/25/2020,1,0,0,Iran/Taftan,Khyber Pakhtunkhwa,Dera Ismail Khan,912,3031
3/25/2020,1,0,0,Unknown,Khyber Pakhtunkhwa,Swabi,633,1278
3/25/2020,9,0,0,Local - Social Contact,Punjab,Gujrat,822,3639
3/25/2020,1,0,0,Local - Social Contact,Punjab,Gujranwala,647,3285
3/25/2020,2,1,0,Iran/Taftan,Punjab,Dera Ghazi Khan,983,4881
3/25/2020,18,0,1,Unknown,Punjab,Lahore,575,2222
3/25/2020,1,0,0,Local - Social Contact,Punjab,Multan,767,4886
3/25/2020,12,0,0,Iran/Taftan,Baluchistan,Quetta,674,3714
3/25/2020,7,0,0,Unknown,Gilgit-Baltistan,Kharmang,720,1023
3/25/2020,1,0,0,Dubai,Gilgit-Baltistan,Kharmang,956,2901
3/26/2020,2,0,0,Unknown,Khyber Pakhtunkhwa,Dir Upper,939,1238
3/26/2020,1,0,0,Unknown,Khyber Pakhtunkhwa,Swat,973,3496
3/26/2020,1,0,0,Unknown,Azad Jummu Kashmir,Mirpur,898,1210
3/26/2020,5,0,0,Unknown,Islamabad Capital Territory,Islamabad,667,1507
3/26/2020,9,0,0,Local - Social Contact,Sindh,Karachi,899,3689
3/26/2020,6,0,2,Local - Social Contact,Khyber Pakhtunkhwa,Mardan,647,3875
3/26/2020,12,0,0,Iran/Taftan,Baluchistan,Quetta,558,4112
3/26/2020,7,0,2,Unknown,Gilgit-Baltistan,Skardu,860,2249
3/26/2020,26,0,1,Unknown,Punjab,Lahore,868,4170
3/26/2020,16,0,0,Iran/Taftan,Punjab,Multan,881,2673
3/26/2020,1,0,0,Local - Social Contact,Punjab,Gujrat,875,4214
3/26/2020,16,0,0,Local - Social Contact,Punjab,Jehlum,880,4749
3/26/2020,12,0,0,Local - Social Contact,Punjab,Rawalpindi,543,4681
3/26/2020,2,0,0,Local - Social Contact,Punjab,Faisalabad,515,2706
3/26/2020,2,0,0,Local - Social Contact,Punjab,Mandi Bahauddin,528,848
3/26/2020,2,0,0,Local - Social Contact,Punjab,Mianwali,599,582
3/26/2020,1,0,0,Local - Social Contact,Punjab,Narowal,916,1725
3/26/2020,1,0,0,Local - Social Contact,Punjab,Nankana,669,3740
3/26/2020,1,0,0,Local - Social Contact,Punjab,Attock,644,806
3/26/2020,1,0,0,Local - Social Contact,Punjab,Bahawal Nagar,574,1436
3/26/2020,7,1,0,Iran/Taftan,Punjab,Dera Ghazi Khan,661,4773
3/27/2020,2,0,0,Local - Social Contact,Islamabad Capital Territory,Islamabad,993,2978
3/27/2020,11,0,1,Unknown,Gilgit-Baltistan,Shigar,950,4214
3/27/2020,5,0,0,Unknown,Gilgit-Baltistan,Gilgit,954,2461
3/27/2020,7,0,0,Iran/Taftan,Sindh,Larkana,690,3467
3/27/2020,4,0,1,Local - Social Contact,Sindh,Karachi,507,4248
3/27/2020,7,0,0,Unknown,Khyber Pakhtunkhwa,Peshawar,839,2438
3/27/2020,2,0,0,Unknown,Khyber Pakhtunkhwa,Swat,764,763
3/27/2020,3,0,0,Unknown,Khyber Pakhtunkhwa,Swabi,918,2967
3/27/2020,1,0,0,Unknown,Khyber Pakhtunkhwa,Shangla,797,4837
3/27/2020,3,0,0,Unknown,Khyber Pakhtunkhwa,Nowshera,929,1188
3/27/2020,1,0,0,Iran/Taftan,Khyber Pakhtunkhwa,Orakzai,650,2077
3/27/2020,34,0,0,Unknown,Khyber Pakhtunkhwa,Mardan,704,4835
3/27/2020,3,0,0,Unknown,Khyber Pakhtunkhwa,Malakand,976,2440
3/27/2020,2,0,0,Unknown,Khyber Pakhtunkhwa,Mansehra,841,3076
3/27/2020,3,0,0,Unknown,Khyber Pakhtunkhwa,Kohat,549,1335
3/27/2020,2,0,0,Local - Social Contact,Punjab,Lahore,919,1039
3/27/2020,2,0,0,Local - Social Contact,Punjab,Faisalabad,657,3834
3/27/2020,30,2,1,Iran/Taftan,Punjab,Multan,785,968
3/27/2020,0,0,2,Unknown,Baluchistan,Quetta,736,1532
3/28/2020,1,0,0,Local - Social Contact,Punjab,Khushab,692,3133
3/28/2020,1,1,0,Unknown,Khyber Pakhtunkhwa,Dera Ismail Khan,548,3266
3/28/2020,1,0,0,Unknown,Khyber Pakhtunkhwa,Charsadda,688,708
3/28/2020,4,0,0,Unknown,Khyber Pakhtunkhwa,Buner,684,1857
3/28/2020,1,0,0,Local - Social Contact,Punjab,Nankana,954,4458
3/28/2020,1,0,0,Local - Social Contact,Punjab,Mandi Bahauddin,923,4536
3/28/2020,2,0,0,Local - Social Contact,Punjab,Sargodha,780,2523
3/28/2020,1,0,0,Local - Social Contact,Punjab,Vehari,853,615
3/28/2020,26,0,0,Iran/Taftan,Punjab,Multan,788,1839
3/28/2020,14,0,0,Local - Social Contact,Punjab,Lahore,652,4252
3/28/2020,4,0,0,Local - Social Contact,Punjab,Faisalabad,963,1529
3/28/2020,10,0,0,Local - Social Contact,Punjab,Gujranwala,797,2702
3/28/2020,5,0,0,Local - Social Contact,Punjab,Rawalpindi,514,1399
3/28/2020,2,0,0,Local - Social Contact,Punjab,Jehlum,705,3194
3/28/2020,29,0,0,Local - Social Contact,Punjab,Gujrat,969,3690
3/28/2020,5,0,0,Local - Social Contact,Punjab,Dera Ghazi Khan,560,633
3/28/2020,21,0,0,Iran/Taftan,Punjab,Raiwind,894,2153
3/28/2020,12,0,0,International Passenger,Islamabad Capital Territory,Islamabad,630,4440
3/28/2020,25,1,0,Local - Social Contact,Sindh,Karachi,529,1211
3/28/2020,4,0,0,Local - Social Contact,Sindh,Hyderabad,978,4096
3/28/2020,5,0,0,Local - Social Contact,Baluchistan,Quetta,502,4396
3/28/2020,8,0,1,Local - Social Contact,Gilgit-Baltistan,Nagar,640,4267
3/28/2020,1,0,0,Unknown,Khyber Pakhtunkhwa,Dir Lower,883,3032
3/28/2020,1,0,0,Unknown,Khyber Pakhtunkhwa,Abbottabad,854,4281
3/29/2020,4,0,1,Local - Social Contact,Islamabad Capital Territory,Islamabad,955,4215
3/29/2020,0,0,3,Local - Social Contact,Punjab,Lahore,507,3284
3/29/2020,1,0,0,Local - Social Contact,Punjab,Vehari,699,4006
3/29/2020,1,0,0,Local - Social Contact,Punjab,Bahawalpur,554,4740
3/29/2020,3,0,0,Local - Social Contact,Punjab,Gujrat,817,4282
3/29/2020,7,0,0,Local - Social Contact,Punjab,Jehlum,510,578
3/29/2020,1,0,0,Local - Social Contact,Punjab,Gujranwala,612,1421
3/29/2020,11,0,0,Local - Social Contact,Punjab,Rawalpindi,624,4775
3/29/2020,5,0,0,Iran/Taftan,Punjab,Raiwind,791,1910
3/29/2020,1,1,0,Local - Social Contact,Punjab,Rahim Yar Khan,934,3877
3/29/2020,4,0,0,Unknown,Azad Jummu Kashmir,Muzaffarabad,771,4997
3/29/2020,33,2,3,Local - Social Contact,Sindh,Karachi,936,2234
3/29/2020,0,1,0,Local - Social Contact,Gilgit-Baltistan,Nagar,837,4568
3/29/2020,5,0,0,Unknown,Gilgit-Baltistan,Shigar,857,4887
3/29/2020,2,0,0,Iran/Taftan,Gilgit-Baltistan,Kharmang,826,3835
3/29/2020,3,0,0,Local - Social Contact,Gilgit-Baltistan,Astore,807,4391
3/29/2020,2,0,0,Unknown,Gilgit-Baltistan,Ghanche,903,4226
3/29/2020,1,1,0,Unknown,Khyber Pakhtunkhwa,Abbottabad,932,657
3/29/2020,2,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Peshawar,752,4037
3/29/2020,1,1,0,Unknown,Khyber Pakhtunkhwa,Dir Lower,824,4069
3/30/2020,8,0,1,Local - Social Contact,Islamabad Capital Territory,Islamabad,746,900
3/30/2020,11,0,1,Local - Social Contact,Punjab,Nankana,796,2435
3/30/2020,14,0,0,Unknown,Punjab,Lahore,947,2627
3/30/2020,8,0,0,Local - Social Contact,Punjab,Gujrat,952,2415
3/30/2020,26,0,1,Iran/Taftan,Punjab,Raiwind,714,3364
3/30/2020,21,4,2,Local - Social Contact,Sindh,Karachi,621,1213
3/30/2020,6,0,23,Local - Social Contact,Sindh,Sukkur,732,2481
3/30/2020,6,0,0,Local - Social Contact,Baluchistan,Quetta,617,2788
3/30/2020,18,0,4,Unknown,Gilgit-Baltistan,Nagar,623,1306
3/30/2020,1,0,0,Local - Social Contact,Federal Administration Tribal Area,Bajaur,672,4802
3/30/2020,3,0,0,Iran/Taftan,Khyber Pakhtunkhwa,Peshawar,548,4410
3/30/2020,1,0,0,Unknown,Khyber Pakhtunkhwa,Bannu,854,793
3/30/2020,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Dera Ismail Khan,823,3040
3/30/2020,3,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Dir Lower,862,1806
3/30/2020,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Mansehra,601,2538
3/30/2020,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Mardan,878,1005
3/30/2020,16,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Peshawar,785,2285
3/31/2020,7,0,0,Unknown,Islamabad Capital Territory,Islamabad,958,3858
3/31/2020,0,3,0,Iran/Taftan,Punjab,Dera Ghazi Khan,855,1687
3/31/2020,14,0,0,Local - Social Contact,Punjab,Rawalpindi,674,2408
3/31/2020,1,0,0,Local - Social Contact,Punjab,Mianwali,973,4511
3/31/2020,1,0,0,Local - Social Contact,Punjab,Rahim Yar Khan,506,2560
3/31/2020,5,0,0,Local - Social Contact,Punjab,Hafizabad,974,636
3/31/2020,1,0,0,Local - Social Contact,Punjab,Kasur,960,1609
3/31/2020,1,0,0,Local - Social Contact,Punjab,Laiya,830,3292
3/31/2020,16,0,0,Local - Social Contact,Sindh,Hyderabad,942,1950
3/31/2020,0,0,10,Iran/Taftan,Sindh,Sukkur,912,1026
3/31/2020,94,0,0,Tableeghi Jamaat,Sindh,Hyderabad,678,4840
3/31/2020,1,0,0,Local - Social Contact,Sindh,Jacobabad,896,596
3/31/2020,14,0,17,Iran/Taftan,Baluchistan,Quetta,970,1899
3/31/2020,37,0,0,Unknown,Gilgit-Baltistan,Nagar,783,2905
3/31/2020,0,0,0,Unknown,Khyber Pakhtunkhwa,Peshawar,965,1895
3/31/2020,1,0,0,Local - Social Contact,Federal Administration Tribal Area,Bajaur,837,1228
3/31/2020,3,0,0,Unknown,Khyber Pakhtunkhwa,Dera Ismail Khan,957,1668
3/31/2020,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Haripur,775,662
3/31/2020,10,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Kohat,547,3178
3/31/2020,1,0,5,Local - Social Contact,Khyber Pakhtunkhwa,Mardan,720,2035
3/31/2020,1,0,0,Iran/Taftan,Federal Administration Tribal Area,Kurrum,980,2176
3/31/2020,4,1,10,Iran/Taftan,Khyber Pakhtunkhwa,Dera Ismail Khan,726,952
3/31/2020,10,0,0,Unknown,Khyber Pakhtunkhwa,Peshawar,780,2609
4/1/2020,13,0,0,International Passenger,Islamabad Capital Territory,Islamabad,948,2386
4/1/2020,2,0,0,Unknown,Azad Jummu Kashmir,Bhambore ,709,2730
4/1/2020,1,0,0,Unknown,Azad Jummu Kashmir,Trarkhel,873,3658
4/1/2020,1,1,0,Local - Social Contact,Khyber Pakhtunkhwa,Bannu,672,2056
4/1/2020,1,1,0,Local - Social Contact,Khyber Pakhtunkhwa,Peshawar,935,3838
4/1/2020,0,0,2,Local - Social Contact,Khyber Pakhtunkhwa,Nowshera,982,3976
4/1/2020,3,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Abbottabad,539,4887
4/1/2020,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Dir Upper,576,2866
4/1/2020,2,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Haripur,585,1637
4/1/2020,1,0,0,Local - Social Contact,Federal Administration Tribal Area,Khyber,917,4287
4/1/2020,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Kohat,821,4109
4/1/2020,2,0,0,Local - Social Contact,Federal Administration Tribal Area,Kurrum,698,4910
4/1/2020,2,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Mansehra,732,2834
4/1/2020,7,0,10,Local - Social Contact,Khyber Pakhtunkhwa,Mardan,557,4631
4/1/2020,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Orakzai,736,1753
4/1/2020,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Tank,716,4985
4/1/2020,1,0,0,Local - Social Contact,Federal Administration Tribal Area,South Waziristan,916,2156
4/1/2020,33,1,3,Local - Social Contact,Sindh,Karachi,777,4330
4/1/2020,2,0,0,Local - Social Contact,Punjab,Lodhran,664,2463
4/1/2020,48,0,0,Local - Social Contact,Punjab,Lahore,956,4384
4/1/2020,7,1,0,Local - Social Contact,Punjab,Rawalpindi,645,4187
4/1/2020,6,0,0,Local - Social Contact,Baluchistan,Quetta,586,1590
4/1/2020,28,0,0,Local - Social Contact,Punjab,Gujrat,628,2673
4/1/2020,2,0,0,Local - Social Contact,Punjab,Gujranwala,890,3146
4/1/2020,1,0,0,Local - Social Contact,Punjab,Narowal,997,4936
4/1/2020,8,0,0,Local - Social Contact,Punjab,Sargodha,648,2597
4/1/2020,1,0,0,Local - Social Contact,Punjab,Sialkot,761,885
4/1/2020,2,0,0,Local - Social Contact,Punjab,Bahawal Nagar,859,2366
4/1/2020,16,0,0,Iran/Taftan,Punjab,Multan,929,2830
4/1/2020,63,0,0,Iran/Taftan,Punjab,Raiwind,757,981
4/2/2020,27,0,0,Tableeghi Jamaat,Punjab,Raiwind,709,4768
4/1/2020,3,0,0,Iran/Taftan,Punjab,Faisalabad,770,2176
4/2/2020,3,1,0,Unknown,Gilgit-Baltistan,Astore,616,3144
4/2/2020,32,1,9,Local - Social Contact,Sindh,Karachi,661,1432
4/2/2020,0,1,0,Tableeghi Jamaat,Sindh,Hyderabad,582,3329
4/2/2020,0,0,2,Iran/Taftan,Sindh,Sukkur,839,3069
4/2/2020,21,1,0,Unknown,Punjab,Lahore,538,4280
4/2/2020,4,0,0,Unknown,Islamabad Capital Territory,Islamabad,899,2341
4/2/2020,5,0,0,Local - Social Contact,Baluchistan,Quetta,775,2649
4/2/2020,1,1,0,Local - Social Contact,Khyber Pakhtunkhwa,Buner,642,3556
4/2/2020,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Abbottabad,992,3360
4/2/2020,5,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Dir Lower,799,2543
4/2/2020,2,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Dir Upper,623,3789
4/2/2020,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Hangu,551,4591
4/2/2020,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Karak,875,877
4/2/2020,6,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Kohat,712,2912
4/2/2020,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Mansehra,606,4028
4/2/2020,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Nowshera,542,1947
4/2/2020,17,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Peshawar,836,3431
4/2/2020,1,0,3,Local - Social Contact,Khyber Pakhtunkhwa,Swabi,968,1555
4/2/2020,1,0,0,Local - Social Contact,Punjab,Gujranwala,843,2789
4/2/2020,2,0,0,Local - Social Contact,Punjab,Rawalpindi,612,2521
4/2/2020,10,0,0,Local - Social Contact,Punjab,Mandi Bahauddin,762,4559
4/2/2020,6,0,0,Local - Social Contact,Punjab,Vehari,671,785
4/2/2020,6,0,0,Iran/Taftan,Punjab,Dera Ghazi Khan,925,2371
4/2/2020,27,0,0,Iran/Taftan,Punjab,Raiwind,523,2187
4/2/2020,2,0,0,Iran/Taftan,Punjab,Faisalabad,636,3569
4/3/2020,1,0,1,Unknown,Gilgit-Baltistan,Shigar,805,3521
4/3/2020,1,0,0,Unknown,Gilgit-Baltistan,Nagar,736,2119
4/3/2020,1,0,0,Unknown,Gilgit-Baltistan,Astore,954,1461
4/3/2020,6,0,0,Unknown,Islamabad Capital Territory,Islamabad,618,3417
4/3/2020,40,3,0,Local - Social Contact,Sindh,Karachi,974,2323
4/3/2020,4,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Peshawar,880,4903
4/3/2020,6,0,0,Unknown,Baluchistan,Quetta,966,2378
4/3/2020,6,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Abbottabad,705,2187
4/3/2020,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Buner,885,735
4/3/2020,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Dir Upper,729,1513
4/3/2020,8,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Hangu,639,3647
4/3/2020,2,1,0,Local - Social Contact,Khyber Pakhtunkhwa,Mansehra,577,2273
4/3/2020,10,1,0,Local - Social Contact,Khyber Pakhtunkhwa,Swat,888,3396
4/3/2020,11,0,0,Local - Social Contact,Punjab,Lahore,968,1021
4/3/2020,5,0,0,Local - Social Contact,Punjab,Gujrat,526,2489
4/3/2020,1,0,0,Local - Social Contact,Punjab,Jehlum,562,576
4/3/2020,1,0,0,Local - Social Contact,Punjab,Gujranwala,737,3908
4/3/2020,2,0,0,Local - Social Contact,Punjab,Rawalpindi,521,2345
4/3/2020,1,0,0,Local - Social Contact,Punjab,Chiniot,989,2435
4/3/2020,2,0,0,Local - Social Contact,Punjab,Rahim Yar Khan,542,4866
4/3/2020,1,0,0,Local - Social Contact,Punjab,Sialkot,905,2525
4/3/2020,11,0,0,Local - Social Contact,Punjab,Vehari,768,2012
4/3/2020,1,0,0,Local - Social Contact,Punjab,Bahawalpur,718,3373
4/3/2020,1,0,0,Local - Social Contact,Punjab,Sheikhupura,703,1229
4/3/2020,12,0,0,Tableeghi Jamaat,Punjab,Dera Ghazi Khan,741,920
